===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.170.6:9200/
[+] Method:                  GET
[+] Threads:                 70
[+] Wordlist:                /usr/share/wordlists/dirb/common.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Extensions:              css,php,html,txt,js
[+] Timeout:                 10s
===============================================================
2021/07/12 21:13:51 Starting gobuster in directory enumeration mode
===============================================================
/_mm.html             (Status: 400) [Size: 329] 
/_net.js              (Status: 400) [Size: 325] 
/_notes.css           (Status: 400) [Size: 337] 
/_catalogs.txt        (Status: 400) [Size: 349] 
/_baks.php            (Status: 400) [Size: 333] 
/_old.css             (Status: 400) [Size: 329] 
/_code.css            (Status: 400) [Size: 333] 
/_backup.txt          (Status: 400) [Size: 341] 
/_borders.txt         (Status: 400) [Size: 345] 
/_config.txt          (Status: 400) [Size: 341] 
/_db_backups.html     (Status: 400) [Size: 361] 
/_common.css          (Status: 400) [Size: 341] 
/_overlay.txt         (Status: 400) [Size: 345] 
/_css.css             (Status: 400) [Size: 329] 
/_database.css        (Status: 400) [Size: 349] 
/_adm.txt             (Status: 400) [Size: 329] 
/_cache.txt           (Status: 400) [Size: 337] 
/_conf.php            (Status: 400) [Size: 333] 
/.svn/entries.html    (Status: 405) [Size: 109] 
/_install.txt         (Status: 400) [Size: 345] 
/_flash.php           (Status: 400) [Size: 337] 
/_fpclass.css         (Status: 400) [Size: 345] 
/_dummy.html          (Status: 400) [Size: 341] 
/_files               (Status: 400) [Size: 321] 
/_data.js             (Status: 400) [Size: 329] 
/_ajax.js             (Status: 400) [Size: 329] 
/_.html               (Status: 400) [Size: 321] 
/_includes.js         (Status: 400) [Size: 345] 
/_derived.html        (Status: 400) [Size: 349] 
/_mmserverscripts.css (Status: 400) [Size: 377] 
/_images.txt          (Status: 400) [Size: 341] 
/_mem_bin.txt         (Status: 400) [Size: 345] 
/_layouts.txt         (Status: 400) [Size: 345] 
/_img                 (Status: 400) [Size: 313] 
/.git/HEAD.css        (Status: 405) [Size: 105] 
/_pages               (Status: 400) [Size: 321] 
/_inc.txt             (Status: 400) [Size: 329] 
/_dev.html            (Status: 400) [Size: 333] 
/_mygallery.txt       (Status: 400) [Size: 353] 
/_lib.js              (Status: 400) [Size: 325] 
/_mm                  (Status: 400) [Size: 309] 
/_assets.html         (Status: 400) [Size: 345] 
/_archive.php         (Status: 400) [Size: 345] 
/_media.php           (Status: 400) [Size: 337] 
/_js.js               (Status: 400) [Size: 321] 
/_notes.php           (Status: 400) [Size: 337] 
/_net.css             (Status: 400) [Size: 329] 
/_include.txt         (Status: 400) [Size: 345] 
/_private             (Status: 400) [Size: 329] 
/_admin.html          (Status: 400) [Size: 341] 
/_reports             (Status: 400) [Size: 329] 
/_res.css             (Status: 400) [Size: 329] 
/_styles              (Status: 400) [Size: 325] 
/_resources           (Status: 400) [Size: 337] 
/_scripts.txt         (Status: 400) [Size: 345] 
/_source.css          (Status: 400) [Size: 341] 
/_src.txt             (Status: 400) [Size: 329] 
/_temp.php            (Status: 400) [Size: 333] 
/_swf                 (Status: 400) [Size: 313] 
/_tempalbums.txt      (Status: 400) [Size: 357] 
/_scriptlibrary.php   (Status: 400) [Size: 369] 
/_template.php        (Status: 400) [Size: 349] 
/_test.html           (Status: 400) [Size: 337] 
/_templates.js        (Status: 400) [Size: 349] 
/_themes.js           (Status: 400) [Size: 337] 
/_stats               (Status: 200) [Size: 12482]
/_tmp.js              (Status: 400) [Size: 325]  
/_vti_inf.html        (Status: 400) [Size: 349]  
/_vti_bin/shtml.dll   (Status: 405) [Size: 110]  
/_vti_aut.php         (Status: 400) [Size: 345]  
/_vti_bin.js          (Status: 400) [Size: 341]  
/_tmpfileop.js        (Status: 400) [Size: 349]  
/_vti_pvt.txt         (Status: 400) [Size: 345]  
/_vti_cnf             (Status: 400) [Size: 329]  
/_vti_rpc             (Status: 400) [Size: 329]  
/_vti_script.css      (Status: 400) [Size: 357]  
/_vti_txt.txt         (Status: 400) [Size: 345]  
/_vti_map.php         (Status: 400) [Size: 345]  
/_vti_log.html        (Status: 400) [Size: 349]  
/_www                 (Status: 400) [Size: 313]  
/_pages.html          (Status: 400) [Size: 341]  
/_resources.php       (Status: 400) [Size: 353]  
/_styles.html         (Status: 400) [Size: 345]  
/_private.html        (Status: 400) [Size: 349]  
/_res.php             (Status: 400) [Size: 329]  
/_reports.php         (Status: 400) [Size: 345]  
/_scripts             (Status: 400) [Size: 329]  
/_scriptlibrary       (Status: 400) [Size: 353]  
/_source.php          (Status: 400) [Size: 341]  
/_test.txt            (Status: 400) [Size: 333]  
/_src.js              (Status: 400) [Size: 325]  
/_stats.php           (Status: 400) [Size: 337]  
/_swf.html            (Status: 400) [Size: 333]  
/_template            (Status: 200) [Size: 40327]
/_themes.css          (Status: 400) [Size: 341]  
/_tempalbums.js       (Status: 400) [Size: 353]  
/_temp.html           (Status: 400) [Size: 337]  
/_tmp.css             (Status: 400) [Size: 329]  
/_templates.css       (Status: 400) [Size: 353]  
/_vti_aut.html        (Status: 400) [Size: 349]  
/_tmpfileop.css       (Status: 400) [Size: 353]  
/_vti_inf.txt         (Status: 400) [Size: 345]  
/_vti_pvt.js          (Status: 400) [Size: 341]  
/_vti_bin/shtml.dll.js (Status: 405) [Size: 113] 
/_vti_bin.css         (Status: 400) [Size: 345]  
/_www.txt             (Status: 400) [Size: 329]  
/_vti_log.txt         (Status: 400) [Size: 345]  
/_vti_rpc.html        (Status: 400) [Size: 349]  
/_vti_script.php      (Status: 400) [Size: 357]  
/_vti_map.html        (Status: 400) [Size: 349]  
/_vti_cnf.js          (Status: 400) [Size: 341]  
/_vti_txt             (Status: 400) [Size: 329]  
/_pages.txt           (Status: 400) [Size: 337]  
/_private.txt         (Status: 400) [Size: 345]  
/_res                 (Status: 400) [Size: 313]  
/_reports.html        (Status: 400) [Size: 349]  
/_source              (Status: 400) [Size: 325]  
/_resources.html      (Status: 400) [Size: 357]  
/_test.js             (Status: 400) [Size: 329]  
/_scripts.js          (Status: 400) [Size: 341]  
/_scriptlibrary.html  (Status: 400) [Size: 373]  
/_styles.txt          (Status: 400) [Size: 341]  
/_src.css             (Status: 400) [Size: 329]  
/_tempalbums.css      (Status: 400) [Size: 357]  
/_swf.txt             (Status: 400) [Size: 329]  
/_themes.php          (Status: 400) [Size: 341]  
/_stats.html          (Status: 400) [Size: 341]  
/_template.html       (Status: 400) [Size: 353]  
/_temp                (Status: 400) [Size: 317]  
/_templates.php       (Status: 400) [Size: 353]  
/_tmp.php             (Status: 400) [Size: 329]  
/_vti_aut.txt         (Status: 400) [Size: 345]  
/_vti_inf.js          (Status: 400) [Size: 341]  
/_vti_bin/shtml.dll.css (Status: 405) [Size: 114]
/_vti_bin.php         (Status: 400) [Size: 345]  
/_tmpfileop           (Status: 400) [Size: 337]  
/_vti_pvt.css         (Status: 400) [Size: 345]  
/_www.js              (Status: 400) [Size: 325]  
/_vti_map.txt         (Status: 400) [Size: 345]  
/_vti_log.js          (Status: 400) [Size: 341]  
/_vti_rpc.txt         (Status: 400) [Size: 345]  
/_vti_script.html     (Status: 400) [Size: 361]  
/_vti_cnf.css         (Status: 400) [Size: 345]  
/_vti_txt.js          (Status: 400) [Size: 341]  
/_pages.js            (Status: 400) [Size: 333]  
/_private.js          (Status: 400) [Size: 341]  
/_res.html            (Status: 400) [Size: 333]  
/_source.html         (Status: 400) [Size: 345]  
/_scripts.css         (Status: 400) [Size: 345]  
/_test                (Status: 400) [Size: 317]  
/_tempalbums.php      (Status: 400) [Size: 357]  
/_swf.js              (Status: 400) [Size: 325]  
/_scriptlibrary.txt   (Status: 400) [Size: 369]  
/_styles.js           (Status: 400) [Size: 337]  
/_template.txt        (Status: 400) [Size: 349]  
/_themes              (Status: 400) [Size: 325]  
/_templates           (Status: 400) [Size: 337]  
/_temp.txt            (Status: 400) [Size: 333]  
/_vti_bin.html        (Status: 400) [Size: 349]  
/_reports.txt         (Status: 400) [Size: 345]  
/_vti_aut             (Status: 400) [Size: 329]  
/_resources.txt       (Status: 400) [Size: 353]  
/_vti_bin/shtml.dll.php (Status: 405) [Size: 114]
/_stats.txt           (Status: 400) [Size: 337]  
/_vti_inf.css         (Status: 400) [Size: 345]  
/_tmpfileop.php       (Status: 400) [Size: 353]  
/_tmp.html            (Status: 400) [Size: 333]  
/_vti_pvt.php         (Status: 400) [Size: 345]  
/_src                 (Status: 400) [Size: 313]  
/_vti_rpc.js          (Status: 400) [Size: 341]  
/_vti_script.txt      (Status: 400) [Size: 357]  
/_vti_log.css         (Status: 400) [Size: 345]  
/_www.css             (Status: 400) [Size: 329]  
/_vti_map.js          (Status: 400) [Size: 341]  
/_vti_txt.css         (Status: 400) [Size: 345]  
/_vti_cnf.php         (Status: 400) [Size: 345]  
/_pages.css           (Status: 400) [Size: 337]  
/_private.css         (Status: 400) [Size: 345]  
/_res.txt             (Status: 400) [Size: 329]  
/_scripts.php         (Status: 400) [Size: 345]  
/_test.css            (Status: 400) [Size: 333]  
/_source.txt          (Status: 400) [Size: 341]  
/_styles.css          (Status: 400) [Size: 341]  
/_tempalbums          (Status: 400) [Size: 341]  
/_scriptlibrary.js    (Status: 400) [Size: 365]  
/_swf.css             (Status: 400) [Size: 329]  
/_template.js         (Status: 400) [Size: 345]  
/_templates.html      (Status: 400) [Size: 357]  
/_vti_bin/shtml.dll.html (Status: 405) [Size: 115]
/_vti_bin             (Status: 400) [Size: 329]   
/_stats.js            (Status: 400) [Size: 333]   
/_temp.js             (Status: 400) [Size: 329]   
/_themes.html         (Status: 400) [Size: 345]   
/_reports.js          (Status: 400) [Size: 341]   
/_tmp.txt             (Status: 400) [Size: 329]   
/_tmpfileop.html      (Status: 400) [Size: 357]   
/_vti_pvt             (Status: 400) [Size: 329]   
/_resources.js        (Status: 400) [Size: 349]   
/_vti_aut.js          (Status: 400) [Size: 341]   
/_src.php             (Status: 400) [Size: 329]   
/_vti_inf.php         (Status: 400) [Size: 345]   
/_vti_rpc.css         (Status: 400) [Size: 345]   
/_vti_map.css         (Status: 400) [Size: 345]   
/_vti_log.php         (Status: 400) [Size: 345]   
/_vti_script          (Status: 400) [Size: 341]   
/_www.php             (Status: 400) [Size: 329]   
/_vti_cnf.html        (Status: 400) [Size: 349]   
/_vti_txt.php         (Status: 400) [Size: 345]   
/_pages.php           (Status: 400) [Size: 337]   
/_private.php         (Status: 400) [Size: 345]   
/_res.js              (Status: 400) [Size: 325]   
/_scripts.html        (Status: 400) [Size: 349]   
/_test.php            (Status: 400) [Size: 333]   
/_source.js           (Status: 400) [Size: 337]   
/_styles.php          (Status: 400) [Size: 341]   
/_swf.php             (Status: 400) [Size: 329]   
/_scriptlibrary.css   (Status: 400) [Size: 369]   
/_tempalbums.html     (Status: 400) [Size: 361]   
/_templates.txt       (Status: 400) [Size: 353]   
/_stats.css           (Status: 400) [Size: 337]   
/_temp.css            (Status: 400) [Size: 333]   
/_vti_bin/shtml.dll.txt (Status: 405) [Size: 114] 
/_template.css        (Status: 400) [Size: 349]   
/_vti_bin.txt         (Status: 400) [Size: 345]   
/_src.html            (Status: 400) [Size: 333]   
/_tmpfileop.txt       (Status: 400) [Size: 353]   
/_resources.css       (Status: 400) [Size: 353]   
/_vti_aut.css         (Status: 400) [Size: 345]   
/_reports.css         (Status: 400) [Size: 345]   
/_themes.txt          (Status: 400) [Size: 341]   
/_vti_pvt.html        (Status: 400) [Size: 349]   
/_tmp                 (Status: 400) [Size: 313]   
/_vti_inf             (Status: 400) [Size: 329]   
/_vti_log             (Status: 400) [Size: 329]   
/_vti_rpc.php         (Status: 400) [Size: 345]   
/_vti_script.js       (Status: 400) [Size: 353]   
/_www.html            (Status: 400) [Size: 333]   
/_vti_map             (Status: 400) [Size: 329]   
/_vti_cnf.txt         (Status: 400) [Size: 345]   
/_vti_txt.html        (Status: 400) [Size: 349]   
/cgi-bin/.php         (Status: 405) [Size: 104]   
/cgi-bin/.html        (Status: 405) [Size: 105]   
/cgi-bin/.txt         (Status: 405) [Size: 104]   
/cgi-bin/.js          (Status: 405) [Size: 103]   
/cgi-bin/.css         (Status: 405) [Size: 104]   
