===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.16.141/auth/
[+] Method:                  GET
[+] Threads:                 70
[+] Wordlist:                /usr/share/wordlists/dirb/common.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Extensions:              html,txt,js,css,php
[+] Timeout:                 10s
===============================================================
2021/08/02 11:06:56 Starting gobuster in directory enumeration mode
===============================================================
/_res.txt             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_res.txt]           
/_pages.php           (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_pages.php]         
/_private             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_private]           
/_reports.js          (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_reports.js]        
/_styles.html         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_styles.html]       
/_scriptlibrary.php   (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_scriptlibrary.php] 
/_resources.html      (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_resources.html]    
/.ssh                 (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.ssh]               
/_scripts             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_scripts]           
/_src.js              (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_src.js]            
/_stats               (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_stats]             
/_data.js             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_data.js]           
/_source              (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_source]            
/_swf.php             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_swf.php]           
/_flash.js            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_flash.js]          
/_.css                (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_.css]              
/.mysql_history.html  (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.mysql_history.html]
/_css.html            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_css.html]          
/_tempalbums          (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_tempalbums]        
/_temp.js             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_temp.js]           
/_template.html       (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_template.html]     
/_styles.txt          (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_styles.txt]        
/_vti_bin.php         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_bin.php]       
/_tmpfileop.txt       (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_tmpfileop.txt]     
/_tmp.css             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_tmp.css]           
/_templates           (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_templates]         
/_themes              (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_themes]            
/_vti_aut.php         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_aut.php]       
/_test                (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_test]              
/_vti_bin/_vti_adm/admin.dll.js (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_bin/_vti_adm/admin.dll.js]
/_swf                 (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_swf]                                    
/_flash.css           (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_flash.css]                              
/_                    (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_]                                       
/.mysql_history.txt   (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.mysql_history.txt]                      
/_css.txt             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_css.txt]                                
/_vti_bin/_vti_aut/author.dll.css (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_bin/_vti_aut/author.dll.css]
/_temp.css            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_temp.css]                                   
/_tempalbums.js       (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_tempalbums.js]                              
/_template.txt        (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_template.txt]                               
/_vti_aut.html        (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_aut.html]                               
/_tmpfileop.js        (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_tmpfileop.js]                               
/_vti_bin/_vti_adm/admin.dll.css (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_bin/_vti_adm/admin.dll.css]  
/_vti_bin.html        (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_bin.html]                               
/_themes.html         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_themes.html]                                
/_templates.txt       (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_templates.txt]                              
/_tmp.php             (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_tmp.php]                                    
/_test.css            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_test.css]                                   
/_swf.html            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_swf.html]                                   
/_flash.php           (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_flash.php]                                  
/_.php                (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_.php]                                       
/_tempalbums.css      (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_tempalbums.css]                             
/_vti_aut.txt         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_aut.txt]                                
/_vti_bin/_vti_aut/author.dll.php (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_bin/_vti_aut/author.dll.php]
/_temp.php            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_temp.php]                                   
/_tmpfileop.css       (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_tmpfileop.css]                              
/_css.js              (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_css.js]                                     
/_template.js         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_template.js]                                
/.mysql_history.js    (Status: 302) [Size: 0] [--> /auth/login?to=/auth/.mysql_history.js]                           
/_tmp                 (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_tmp]                                        
/_templates.js        (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_templates.js]                               
/_themes.txt          (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_themes.txt]                                 
/_vti_bin/_vti_adm/admin.dll.php (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_bin/_vti_adm/admin.dll.php]  
/_test.php            (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_test.php]                                   
/_vti_bin.txt         (Status: 302) [Size: 0] [--> /auth/login?to=/auth/_vti_bin.txt]                                
